,Sample Date,Age,Sex,Lat_Cent,Long_Cent,Active - Hunter Killed,Active - Other,Active - Road-Killed,Targeted - Other,Targeted-Clinical suspect
0,1,1.5,1.0,39.060983,-78.471737,1,0,0,0,0
1,1,0.5,0.0,39.060983,-78.471737,1,0,0,0,0
2,1,2.5,0.0,39.132197,-78.413342,1,0,0,0,0
3,1,2.5,0.0,39.004224,-78.52950799999999,1,0,0,0,0
4,1,2.5,1.0,39.074248,-78.415461,0,0,1,0,0
5,1,2.5,0.0,39.046091,-78.453675,1,0,0,0,0
6,1,2.5,0.0,39.072998,-78.359705,1,0,0,0,0
7,1,1.5,1.0,39.299929999999996,-78.145932,1,0,0,0,0
8,1,1.5,1.0,39.358775,-78.18088900000001,1,0,0,0,0
9,1,2.5,0.0,39.075066,-78.45263299999999,1,0,0,0,0
10,1,2.5,1.0,39.347382,-78.31205600000001,1,0,0,0,0
11,1,3.5,0.0,39.144151,-78.30118900000001,1,0,0,0,0
12,1,5.5,0.0,39.313493,-78.10805400000001,1,0,0,0,0
13,1,3.5,0.0,39.127027000000005,-78.190157,1,0,0,0,0
14,1,2.5,0.0,39.141959,-78.20818100000001,1,0,0,0,0
15,1,2.5,0.0,39.285446,-78.14652099999999,1,0,0,0,0
16,1,4.5,0.0,39.170928,-78.207035,1,0,0,0,0
17,1,2.5,1.0,39.347382,-78.31205600000001,1,0,0,0,0
18,1,0.5,1.0,39.060983,-78.471737,1,0,0,0,0
19,1,0.5,0.0,39.060983,-78.471737,1,0,0,0,0
20,1,0.5,0.0,39.060983,-78.471737,1,0,0,0,0
21,1,0.5,1.0,39.060983,-78.471737,1,0,0,0,0
22,1,,1.0,39.060983,-78.471737,1,0,0,0,0
23,1,0.5,0.0,39.060983,-78.471737,1,0,0,0,0
24,1,3.5,0.0,39.274088,-78.27755400000001,1,0,0,0,0
25,1,3.5,0.0,39.262164,-78.38991800000001,1,0,0,0,0
26,1,3.5,0.0,39.262164,-78.38991800000001,1,0,0,0,0
27,1,1.5,0.0,39.261322,-78.352649,1,0,0,0,0
28,1,0.5,0.0,39.361435,-78.29284100000001,1,0,0,0,0
29,1,1.5,1.0,39.346514,-78.274744,1,0,0,0,0
30,1,2.5,1.0,39.07215,-78.322536,1,0,0,0,0
31,1,2.5,1.0,39.07215,-78.322536,1,0,0,0,0
32,1,2.5,1.0,39.188039,-78.318141,1,0,0,0,0
33,1,1.0,0.0,,,0,0,0,1,0
34,1,3.0,0.0,39.198997999999996,-78.168657,0,0,0,0,1
35,1,1.5,0.0,39.243351000000004,-78.204163,1,0,0,0,0
36,1,1.5,0.0,39.27232,-78.203012,0,0,1,0,0
37,1,4.5,0.0,39.104042,-78.45159,1,0,0,0,0
38,1,1.5,1.0,39.127027000000005,-78.190157,0,0,1,0,0
39,1,2.5,1.0,39.003828999999996,-78.51093900000001,1,0,0,0,0
40,1,1.5,1.0,38.873823,-78.534032,0,0,1,0,0
41,1,1.5,1.0,38.959162,-78.45679100000001,0,0,1,0,0
42,1,1.5,0.0,39.003828999999996,-78.51093900000001,1,0,0,0,0
43,1,1.5,0.0,39.000982,-78.380967,0,0,1,0,0
44,1,2.5,1.0,39.247258,-78.371825,0,0,1,0,0
45,1,3.5,1.0,39.103221999999995,-78.414402,1,0,0,0,0
46,1,3.5,1.0,39.061384999999994,-78.490321,1,0,0,0,0
47,1,2.5,0.0,38.918454,-78.588169,1,0,0,0,0
48,1,3.5,0.0,39.245551,-78.29730500000001,0,0,1,0,0
49,1,1.5,1.0,39.332896999999996,-78.312612,0,0,1,0,0
50,1,1.5,1.0,39.245551,-78.29730500000001,0,0,1,0,0
51,1,2.0,1.0,38.831131,-78.572582,0,0,1,0,0
52,1,2.5,1.0,39.317105,-78.257222,1,0,0,0,0
53,1,1.5,0.0,39.141959,-78.20818100000001,1,0,0,0,0
54,1,,0.0,39.230195,-78.260611,1,0,0,0,0
55,1,3.5,0.0,39.271418,-78.165743,1,0,0,0,0
56,1,1.5,0.0,39.285446,-78.14652099999999,1,0,0,0,0
57,1,1.5,1.0,39.204633,-78.410686,1,0,0,0,0
58,1,,0.0,39.132197,-78.413342,1,0,0,0,0
59,1,1.0,1.0,39.258282,-78.222219,0,0,1,0,0
60,1,2.5,1.0,39.391696,-78.347726,1,0,0,0,0
61,1,,1.0,39.118121,-78.43247,1,0,0,0,0
62,1,3.5,1.0,39.04486,-78.39793900000001,1,0,0,0,0
63,1,2.5,0.0,39.075066,-78.45263299999999,1,0,0,0,0
64,1,2.5,1.0,39.072998,-78.359705,1,0,0,0,0
65,1,2.5,1.0,38.989734999999996,-78.530013,1,0,0,0,0
66,1,3.5,1.0,38.945477000000004,-78.494415,1,0,0,0,0
67,1,2.5,0.0,39.086207,-78.3034,1,0,0,0,0
68,1,1.5,1.0,39.241537,-78.12965799999999,0,0,1,0,0
69,1,1.5,1.0,39.01505,-78.361862,0,0,1,0,0
70,1,3.5,0.0,38.831131,-78.572582,0,0,1,0,0
71,1,1.5,0.0,38.873823,-78.534032,0,0,1,0,0
72,1,2.0,1.0,39.098504,-78.209897,0,0,1,0,0
73,1,1.5,1.0,38.958756,-78.43823499999999,0,0,1,0,0
74,1,1.5,1.0,38.902408,-78.514487,0,0,1,0,0
75,1,1.5,1.0,39.255096,-78.091809,0,0,1,0,0
76,1,1.5,1.0,38.973244,-78.437713,0,0,1,0,0
77,1,2.5,1.0,39.174403999999996,-78.355914,1,0,0,0,0
78,1,1.5,1.0,39.18973,-78.392602,1,0,0,0,0
79,1,1.5,0.0,39.406182,-78.347176,1,0,0,0,0
80,1,1.5,1.0,39.126577000000005,-78.171561,0,0,1,0,0
81,1,2.5,1.0,39.27365,-78.25891800000001,1,0,0,0,0
82,1,1.5,1.0,39.303058,-78.276431,0,0,1,0,0
83,1,2.5,0.0,39.127027000000005,-78.190157,0,0,1,0,0
84,1,1.5,1.0,39.227053999999995,-78.130248,0,0,1,0,0
85,1,1.5,1.0,39.284062,-78.09061,0,0,1,0,0
86,1,2.5,1.0,38.859333,-78.534533,0,0,1,0,0
87,1,1.5,1.0,39.112542,-78.190733,0,0,1,0,0
88,1,1.5,1.0,38.845234000000005,-78.553561,0,0,1,0,0
89,1,1.5,1.0,38.831131,-78.572582,0,0,1,0,0
90,1,2.5,1.0,39.21257,-78.130838,0,0,1,0,0
91,1,4.0,0.0,38.959965999999994,-78.493905,1,0,0,0,0
92,1,1.5,1.0,38.9165,-78.495435,0,0,1,0,0
93,1,1.5,0.0,39.228418,-78.186115,0,0,1,0,0
94,1,2.5,0.0,39.190146,-78.411218,1,0,0,0,0
95,1,1.5,1.0,38.845621,-78.572089,0,0,1,0,0
96,1,1.5,1.0,39.001397999999995,-78.39953299999999,0,0,1,0,0
97,1,2.5,1.0,39.361435,-78.29284100000001,1,0,0,0,0
98,1,1.5,1.0,38.930589000000005,-78.476376,0,0,1,0,0
99,1,3.5,1.0,39.376353,-78.31094499999999,1,0,0,0,0
100,1,2.5,0.0,39.376783,-78.32960899999999,1,0,0,0,0
101,1,3.5,1.0,39.376783,-78.32960899999999,1,0,0,0,0
102,1,1.5,1.0,39.40489,-78.29115999999999,1,0,0,0,0
103,1,2.5,1.0,39.376783,-78.32960899999999,1,0,0,0,0
104,1,2.5,1.0,39.361435,-78.29284100000001,1,0,0,0,0
105,1,2.5,1.0,39.204633,-78.410686,1,0,0,0,0
106,1,4.0,1.0,39.219120000000004,-78.41015300000001,1,0,0,0,0
107,1,2.5,1.0,39.23235,-78.353739,1,0,0,0,0
108,1,1.5,1.0,39.246836,-78.35319399999999,1,0,0,0,0
109,1,2.5,1.0,39.230632,-78.279235,1,0,0,0,0
110,1,2.5,1.0,39.262164,-78.38991800000001,1,0,0,0,0
111,1,1.5,0.0,39.229755,-78.241986,1,0,0,0,0
112,1,1.5,0.0,39.229755,-78.241986,1,0,0,0,0
